Year,الجنس,Sex,International Disease Code,سبب الوفاة,Cause of Death,الجنسية,Nationality,Deaths
2015,ذكر,Male,L00 - L99,أمراض الجلد والنسيج الخلوي تحت الجلد,Diseases of the Skin & Subcutaneous Tissue,بحريني,Bahraini,5
2015,ذكر,Male,S00 - T99,الإصابات والتسمم ونتائج أخرى معينة للأسباب الخارجية,"Injuries, Poisoning & Certain Other Consequences of External Causes",بحريني,Bahraini,2
2016,ذكر,Male,F00 - F99,الإضطرابات العقلية,Mental Disorder,بحريني,Bahraini,2
2016,ذكر,Male,G00 -G99,أمراض الجهاز العصبي,Diseases of the Nervous System & Sense Organs,بحريني,Bahraini,23
2016,ذكر,Male,H00 - H59,أمراض العين وتوابعها,Diseases of the Eye & Adnexa,بحريني,Bahraini,1
2016,ذكر,Male,H60 - H99,أمراض الأذن والنتؤ الخشائي (الحلمي),Diseases of the Ear & Mastoid Process,بحريني,Bahraini,0
2016,ذكر,Male,Q00 - Q99,العيوب والتشوهات خلقية,Congential Anomalies,بحريني,Bahraini,18
2016,ذكر,Male,Z00 - Z99,العوامل المؤثرة على الحالة الصحية والمتعلقة بالخدمات الصحية,Factors Influencing Health Status & Contact with Health Services,بحريني,Bahraini,2
2017,ذكر,Male,H00 - H59,أمراض العين وتوابعها,Diseases of the Eye & Adnexa,بحريني,Bahraini,0
2017,ذكر,Male,N00 - N99,أمراض الجهاز التناسلي البولي,Diseases of Genitourinary System,بحريني,Bahraini,85
2017,ذكر,Male,P00 - P99,حالات معينة تنشأ في  الفترة حول موعد الولادة,Conditions Originating in the Perinental Period,بحريني,Bahraini,15
2017,ذكر,Male,Q00 - Q99,العيوب والتشوهات خلقية,Congential Anomalies,بحريني,Bahraini,21
2017,ذكر,Male,S00 - T99,الإصابات والتسمم ونتائج أخرى معينة للأسباب الخارجية,"Injuries, Poisoning & Certain Other Consequences of External Causes",بحريني,Bahraini,1
2017,ذكر,Male,Z00 - Z99,العوامل المؤثرة على الحالة الصحية والمتعلقة بالخدمات الصحية,Factors Influencing Health Status & Contact with Health Services,بحريني,Bahraini,0
2017,ذكر,Male,-,أخرى,Others,بحريني,Bahraini,0
2018,ذكر,Male,A00 - B99,الأمراض المعدية (الأنتانية والطفيلية),Certain Infectious & Parasitic Diseases,بحريني,Bahraini,22
2018,ذكر,Male,G00 -G99,أمراض الجهاز العصبي,Diseases of the Nervous System & Sense Organs,بحريني,Bahraini,36
2018,ذكر,Male,J00 - J99,أمراض الجهاز التنفسي,Diseases of the Respiratory System,بحريني,Bahraini,95
2018,ذكر,Male,O00 - O99,الحمل والولادة والنفاس*,"Pregnancy, Child-Birth & the Puerperium*",بحريني,Bahraini,0
2018,ذكر,Male,V00 - Y99,الأسباب الخارجية للمرض والوفاة,External Causes of Morbidity & Mortality,بحريني,Bahraini,93
2018,ذكر,Male,-,أخرى,Others,بحريني,Bahraini,0
2019,ذكر,Male,E00 - E99,أمراض الغدد الصماء والتغذية والتمثيل الغذائي وإضطرابات المناعة,"Endocrine, Nutritional & Metabolic & Immunity Disorders",بحريني,Bahraini,44
2019,ذكر,Male,K00 - K99,أمراض الجهاز الهضمي,Diseases of the Digestive System,بحريني,Bahraini,38
2019,ذكر,Male,L00 - L99,أمراض الجلد والنسيج الخلوي تحت الجلد,Diseases of the Skin & Subcutaneous Tissue,بحريني,Bahraini,8
2019,ذكر,Male,P00 - P99,حالات معينة تنشأ في  الفترة حول موعد الولادة,Conditions Originating in the Perinental Period,بحريني,Bahraini,21
2019,ذكر,Male,R00 - R99,الأعراض والعلامات المرضية والحالات غير المعينة,Undefined illness,بحريني,Bahraini,48
2019,ذكر,Male,-,أخرى,Others,بحريني,Bahraini,1
2020,ذكر,Male,A00 - B99,الأمراض المعدية (الأنتانية والطفيلية),Certain Infectious & Parasitic Diseases,بحريني,Bahraini,26
2020,ذكر,Male,H00 - H59,أمراض العين وتوابعها,Diseases of the Eye & Adnexa,بحريني,Bahraini,0
2020,ذكر,Male,I00 - I99,أمراض الجهاز الدوري,Diseases of the Circulatory System,بحريني,Bahraini,686
2020,ذكر,Male,J00 - J99,أمراض الجهاز التنفسي,Diseases of the Respiratory System,بحريني,Bahraini,87
2020,ذكر,Male,S00 - T99,الإصابات والتسمم ونتائج أخرى معينة للأسباب الخارجية,"Injuries, Poisoning & Certain Other Consequences of External Causes",بحريني,Bahraini,0
2011,أنثى,Female,D50 - D89,أمراض الدم وأعضاء تكوين الدم,Diseases of the Blood & Blood Forming Organs,بحريني,Bahraini,12
2011,أنثى,Female,H00 - H59,أمراض العين وتوابعها,Diseases of the Eye & Adnexa,بحريني,Bahraini,0
2011,أنثى,Female,H60 - H99,أمراض الأذن والنتؤ الخشائي (الحلمي),Diseases of the Ear & Mastoid Process,بحريني,Bahraini,0
2011,أنثى,Female,K00 - K99,أمراض الجهاز الهضمي,Diseases of the Digestive System,بحريني,Bahraini,28
2011,أنثى,Female,M00 - M99,أمراض الجهاز الهيكلي والنسيج الضام,Diseases of the Musculoskelatal System & Connective Tissue,بحريني,Bahraini,5
2011,أنثى,Female,Q00 - Q99,العيوب والتشوهات خلقية,Congential Anomalies,بحريني,Bahraini,8
2011,أنثى,Female,R00 - R99,الأعراض والعلامات المرضية والحالات غير المعينة,Undefined illness,بحريني,Bahraini,115
2011,أنثى,Female,V00 - Y99,الأسباب الخارجية للمرض والوفاة,External Causes of Morbidity & Mortality,بحريني,Bahraini,15
2012,أنثى,Female,A00 - B99,الأمراض المعدية (الأنتانية والطفيلية),Certain Infectious & Parasitic Diseases,بحريني,Bahraini,26
2012,أنثى,Female,D50 - D89,أمراض الدم وأعضاء تكوين الدم,Diseases of the Blood & Blood Forming Organs,بحريني,Bahraini,32
2012,أنثى,Female,J00 - J99,أمراض الجهاز التنفسي,Diseases of the Respiratory System,بحريني,Bahraini,90
2012,أنثى,Female,L00 - L99,أمراض الجلد والنسيج الخلوي تحت الجلد,Diseases of the Skin & Subcutaneous Tissue,بحريني,Bahraini,18
2012,أنثى,Female,M00 - M99,أمراض الجهاز الهيكلي والنسيج الضام,Diseases of the Musculoskelatal System & Connective Tissue,بحريني,Bahraini,4
2012,أنثى,Female,P00 - P99,حالات معينة تنشأ في  الفترة حول موعد الولادة,Conditions Originating in the Perinental Period,بحريني,Bahraini,15
2012,أنثى,Female,R00 - R99,الأعراض والعلامات المرضية والحالات غير المعينة,Undefined illness,بحريني,Bahraini,88
2012,أنثى,Female,Z00 - Z99,العوامل المؤثرة على الحالة الصحية والمتعلقة بالخدمات الصحية,Factors Influencing Health Status & Contact with Health Services,بحريني,Bahraini,0
2013,أنثى,Female,A00 - B99,الأمراض المعدية (الأنتانية والطفيلية),Certain Infectious & Parasitic Diseases,بحريني,Bahraini,23
2013,أنثى,Female,C00 - D49,الأورام,Neoplasms,بحريني,Bahraini,154
2013,أنثى,Female,E00 - E99,أمراض الغدد الصماء والتغذية والتمثيل الغذائي وإضطرابات المناعة,"Endocrine, Nutritional & Metabolic & Immunity Disorders",بحريني,Bahraini,51
2013,أنثى,Female,F00 - F99,الإضطرابات العقلية,Mental Disorder,بحريني,Bahraini,4
2013,أنثى,Female,H00 - H59,أمراض العين وتوابعها,Diseases of the Eye & Adnexa,بحريني,Bahraini,0
2013,أنثى,Female,H60 - H99,أمراض الأذن والنتؤ الخشائي (الحلمي),Diseases of the Ear & Mastoid Process,بحريني,Bahraini,0
2013,أنثى,Female,I00 - I99,أمراض الجهاز الدوري,Diseases of the Circulatory System,بحريني,Bahraini,257
2013,أنثى,Female,K00 - K99,أمراض الجهاز الهضمي,Diseases of the Digestive System,بحريني,Bahraini,30
2013,أنثى,Female,N00 - N99,أمراض الجهاز التناسلي البولي,Diseases of Genitourinary System,بحريني,Bahraini,80
2013,أنثى,Female,Z00 - Z99,العوامل المؤثرة على الحالة الصحية والمتعلقة بالخدمات الصحية,Factors Influencing Health Status & Contact with Health Services,بحريني,Bahraini,1
2013,أنثى,Female,-,أخرى,Others,بحريني,Bahraini,31
2014,أنثى,Female,D50 - D89,أمراض الدم وأعضاء تكوين الدم,Diseases of the Blood & Blood Forming Organs,بحريني,Bahraini,17
2014,أنثى,Female,H00 - H59,أمراض العين وتوابعها,Diseases of the Eye & Adnexa,بحريني,Bahraini,0
2014,أنثى,Female,H60 - H99,أمراض الأذن والنتؤ الخشائي (الحلمي),Diseases of the Ear & Mastoid Process,بحريني,Bahraini,0
2014,أنثى,Female,K00 - K99,أمراض الجهاز الهضمي,Diseases of the Digestive System,بحريني,Bahraini,32
2014,أنثى,Female,O00 - O99,الحمل والولادة والنفاس*,"Pregnancy, Child-Birth & the Puerperium*",بحريني,Bahraini,1
2014,أنثى,Female,Z00 - Z99,العوامل المؤثرة على الحالة الصحية والمتعلقة بالخدمات الصحية,Factors Influencing Health Status & Contact with Health Services,بحريني,Bahraini,0
2014,أنثى,Female,-,أخرى,Others,بحريني,Bahraini,21
2015,أنثى,Female,C00 - D49,الأورام,Neoplasms,بحريني,Bahraini,201
2015,أنثى,Female,F00 - F99,الإضطرابات العقلية,Mental Disorder,بحريني,Bahraini,0
2015,أنثى,Female,H00 - H59,أمراض العين وتوابعها,Diseases of the Eye & Adnexa,بحريني,Bahraini,0
2015,أنثى,Female,H60 - H99,أمراض الأذن والنتؤ الخشائي (الحلمي),Diseases of the Ear & Mastoid Process,بحريني,Bahraini,0
2015,أنثى,Female,K00 - K99,أمراض الجهاز الهضمي,Diseases of the Digestive System,بحريني,Bahraini,34
2016,أنثى,Female,F00 - F99,الإضطرابات العقلية,Mental Disorder,بحريني,Bahraini,1
2016,أنثى,Female,G00 -G99,أمراض الجهاز العصبي,Diseases of the Nervous System & Sense Organs,بحريني,Bahraini,12
2016,أنثى,Female,H00 - H59,أمراض العين وتوابعها,Diseases of the Eye & Adnexa,بحريني,Bahraini,0
2016,أنثى,Female,I00 - I99,أمراض الجهاز الدوري,Diseases of the Circulatory System,بحريني,Bahraini,371
2016,أنثى,Female,S00 - T99,الإصابات والتسمم ونتائج أخرى معينة للأسباب الخارجية,"Injuries, Poisoning & Certain Other Consequences of External Causes",بحريني,Bahraini,0
2017,أنثى,Female,D50 - D89,أمراض الدم وأعضاء تكوين الدم,Diseases of the Blood & Blood Forming Organs,بحريني,Bahraini,13
2017,أنثى,Female,I00 - I99,أمراض الجهاز الدوري,Diseases of the Circulatory System,بحريني,Bahraini,390
2017,أنثى,Female,J00 - J99,أمراض الجهاز التنفسي,Diseases of the Respiratory System,بحريني,Bahraini,71
2017,أنثى,Female,K00 - K99,أمراض الجهاز الهضمي,Diseases of the Digestive System,بحريني,Bahraini,29
2017,أنثى,Female,N00 - N99,أمراض الجهاز التناسلي البولي,Diseases of Genitourinary System,بحريني,Bahraini,86
2017,أنثى,Female,Q00 - Q99,العيوب والتشوهات خلقية,Congential Anomalies,بحريني,Bahraini,23
2017,أنثى,Female,R00 - R99,الأعراض والعلامات المرضية والحالات غير المعينة,Undefined illness,بحريني,Bahraini,23
2017,أنثى,Female,S00 - T99,الإصابات والتسمم ونتائج أخرى معينة للأسباب الخارجية,"Injuries, Poisoning & Certain Other Consequences of External Causes",بحريني,Bahraini,0
2017,أنثى,Female,V00 - Y99,الأسباب الخارجية للمرض والوفاة,External Causes of Morbidity & Mortality,بحريني,Bahraini,30
2018,أنثى,Female,A00 - B99,الأمراض المعدية (الأنتانية والطفيلية),Certain Infectious & Parasitic Diseases,بحريني,Bahraini,23
2018,أنثى,Female,C00 - D49,الأورام,Neoplasms,بحريني,Bahraini,228
2018,أنثى,Female,E00 - E99,أمراض الغدد الصماء والتغذية والتمثيل الغذائي وإضطرابات المناعة,"Endocrine, Nutritional & Metabolic & Immunity Disorders",بحريني,Bahraini,30
2018,أنثى,Female,K00 - K99,أمراض الجهاز الهضمي,Diseases of the Digestive System,بحريني,Bahraini,23
2018,أنثى,Female,M00 - M99,أمراض الجهاز الهيكلي والنسيج الضام,Diseases of the Musculoskelatal System & Connective Tissue,بحريني,Bahraini,12
2018,أنثى,Female,O00 - O99,الحمل والولادة والنفاس*,"Pregnancy, Child-Birth & the Puerperium*",بحريني,Bahraini,1
2018,أنثى,Female,P00 - P99,حالات معينة تنشأ في  الفترة حول موعد الولادة,Conditions Originating in the Perinental Period,بحريني,Bahraini,22
2018,أنثى,Female,R00 - R99,الأعراض والعلامات المرضية والحالات غير المعينة,Undefined illness,بحريني,Bahraini,24
2018,أنثى,Female,S00 - T99,الإصابات والتسمم ونتائج أخرى معينة للأسباب الخارجية,"Injuries, Poisoning & Certain Other Consequences of External Causes",بحريني,Bahraini,0
2018,أنثى,Female,V00 - Y99,الأسباب الخارجية للمرض والوفاة,External Causes of Morbidity & Mortality,بحريني,Bahraini,50
2018,أنثى,Female,Z00 - Z99,العوامل المؤثرة على الحالة الصحية والمتعلقة بالخدمات الصحية,Factors Influencing Health Status & Contact with Health Services,بحريني,Bahraini,0
2019,أنثى,Female,F00 - F99,الإضطرابات العقلية,Mental Disorder,بحريني,Bahraini,0
2019,أنثى,Female,H00 - H59,أمراض العين وتوابعها,Diseases of the Eye & Adnexa,بحريني,Bahraini,0
2019,أنثى,Female,I00 - I99,أمراض الجهاز الدوري,Diseases of the Circulatory System,بحريني,Bahraini,467
2019,أنثى,Female,J00 - J99,أمراض الجهاز التنفسي,Diseases of the Respiratory System,بحريني,Bahraini,73
2019,أنثى,Female,P00 - P99,حالات معينة تنشأ في  الفترة حول موعد الولادة,Conditions Originating in the Perinental Period,بحريني,Bahraini,21
2019,أنثى,Female,S00 - T99,الإصابات والتسمم ونتائج أخرى معينة للأسباب الخارجية,"Injuries, Poisoning & Certain Other Consequences of External Causes",بحريني,Bahraini,1
2019,أنثى,Female,V00 - Y99,الأسباب الخارجية للمرض والوفاة,External Causes of Morbidity & Mortality,بحريني,Bahraini,27
2019,أنثى,Female,-,أخرى,Others,بحريني,Bahraini,1
2020,أنثى,Female,C00 - D49,الأورام,Neoplasms,بحريني,Bahraini,187
2020,أنثى,Female,G00 -G99,أمراض الجهاز العصبي,Diseases of the Nervous System & Sense Organs,بحريني,Bahraini,22
2020,أنثى,Female,I00 - I99,أمراض الجهاز الدوري,Diseases of the Circulatory System,بحريني,Bahraini,468
2020,أنثى,Female,J00 - J99,أمراض الجهاز التنفسي,Diseases of the Respiratory System,بحريني,Bahraini,67
2020,أنثى,Female,L00 - L99,أمراض الجلد والنسيج الخلوي تحت الجلد,Diseases of the Skin & Subcutaneous Tissue,بحريني,Bahraini,3
2020,أنثى,Female,M00 - M99,أمراض الجهاز الهيكلي والنسيج الضام,Diseases of the Musculoskelatal System & Connective Tissue,بحريني,Bahraini,7
2020,أنثى,Female,N00 - N99,أمراض الجهاز التناسلي البولي,Diseases of Genitourinary System,بحريني,Bahraini,38
2020,أنثى,Female,O00 - O99,الحمل والولادة والنفاس*,"Pregnancy, Child-Birth & the Puerperium*",بحريني,Bahraini,1
2020,أنثى,Female,P00 - P99,حالات معينة تنشأ في  الفترة حول موعد الولادة,Conditions Originating in the Perinental Period,بحريني,Bahraini,22
2020,أنثى,Female,Z00 - Z99,العوامل المؤثرة على الحالة الصحية والمتعلقة بالخدمات الصحية,Factors Influencing Health Status & Contact with Health Services,بحريني,Bahraini,2
2011,ذكر,Male,C00 - D49,الأورام,Neoplasms,غير بحريني,Non-Bahraini,13
2011,ذكر,Male,E00 - E99,أمراض الغدد الصماء والتغذية والتمثيل الغذائي وإضطرابات المناعة,"Endocrine, Nutritional & Metabolic & Immunity Disorders",غير بحريني,Non-Bahraini,10
2011,ذكر,Male,J00 - J99,أمراض الجهاز التنفسي,Diseases of the Respiratory System,غير بحريني,Non-Bahraini,10
2011,ذكر,Male,M00 - M99,أمراض الجهاز الهيكلي والنسيج الضام,Diseases of the Musculoskelatal System & Connective Tissue,غير بحريني,Non-Bahraini,0
2011,ذكر,Male,Q00 - Q99,العيوب والتشوهات خلقية,Congential Anomalies,غير بحريني,Non-Bahraini,5
2011,ذكر,Male,R00 - R99,الأعراض والعلامات المرضية والحالات غير المعينة,Undefined illness,غير بحريني,Non-Bahraini,12
2012,ذكر,Male,E00 - E99,أمراض الغدد الصماء والتغذية والتمثيل الغذائي وإضطرابات المناعة,"Endocrine, Nutritional & Metabolic & Immunity Disorders",غير بحريني,Non-Bahraini,11
2012,ذكر,Male,H60 - H99,أمراض الأذن والنتؤ الخشائي (الحلمي),Diseases of the Ear & Mastoid Process,غير بحريني,Non-Bahraini,0
2012,ذكر,Male,I00 - I99,أمراض الجهاز الدوري,Diseases of the Circulatory System,غير بحريني,Non-Bahraini,183
2012,ذكر,Male,J00 - J99,أمراض الجهاز التنفسي,Diseases of the Respiratory System,غير بحريني,Non-Bahraini,18
2012,ذكر,Male,K00 - K99,أمراض الجهاز الهضمي,Diseases of the Digestive System,غير بحريني,Non-Bahraini,3
2012,ذكر,Male,M00 - M99,أمراض الجهاز الهيكلي والنسيج الضام,Diseases of the Musculoskelatal System & Connective Tissue,غير بحريني,Non-Bahraini,1
2012,ذكر,Male,O00 - O99,الحمل والولادة والنفاس*,"Pregnancy, Child-Birth & the Puerperium*",غير بحريني,Non-Bahraini,0
2012,ذكر,Male,P00 - P99,حالات معينة تنشأ في  الفترة حول موعد الولادة,Conditions Originating in the Perinental Period,غير بحريني,Non-Bahraini,8
2013,ذكر,Male,A00 - B99,الأمراض المعدية (الأنتانية والطفيلية),Certain Infectious & Parasitic Diseases,غير بحريني,Non-Bahraini,5
2013,ذكر,Male,H60 - H99,أمراض الأذن والنتؤ الخشائي (الحلمي),Diseases of the Ear & Mastoid Process,غير بحريني,Non-Bahraini,0
2013,ذكر,Male,M00 - M99,أمراض الجهاز الهيكلي والنسيج الضام,Diseases of the Musculoskelatal System & Connective Tissue,غير بحريني,Non-Bahraini,0
2013,ذكر,Male,N00 - N99,أمراض الجهاز التناسلي البولي,Diseases of Genitourinary System,غير بحريني,Non-Bahraini,9
2013,ذكر,Male,P00 - P99,حالات معينة تنشأ في  الفترة حول موعد الولادة,Conditions Originating in the Perinental Period,غير بحريني,Non-Bahraini,5
2013,ذكر,Male,Q00 - Q99,العيوب والتشوهات خلقية,Congential Anomalies,غير بحريني,Non-Bahraini,3
2014,ذكر,Male,C00 - D49,الأورام,Neoplasms,غير بحريني,Non-Bahraini,19
2014,ذكر,Male,D50 - D89,أمراض الدم وأعضاء تكوين الدم,Diseases of the Blood & Blood Forming Organs,غير بحريني,Non-Bahraini,1
2014,ذكر,Male,G00 -G99,أمراض الجهاز العصبي,Diseases of the Nervous System & Sense Organs,غير بحريني,Non-Bahraini,2
2014,ذكر,Male,N00 - N99,أمراض الجهاز التناسلي البولي,Diseases of Genitourinary System,غير بحريني,Non-Bahraini,5
2014,ذكر,Male,R00 - R99,الأعراض والعلامات المرضية والحالات غير المعينة,Undefined illness,غير بحريني,Non-Bahraini,3
2014,ذكر,Male,,أخرى,Others,غير بحريني,Non-Bahraini,12
2015,ذكر,Male,A00 - B99,الأمراض المعدية (الأنتانية والطفيلية),Certain Infectious & Parasitic Diseases,غير بحريني,Non-Bahraini,5
2015,ذكر,Male,D50 - D89,أمراض الدم وأعضاء تكوين الدم,Diseases of the Blood & Blood Forming Organs,غير بحريني,Non-Bahraini,2
2015,ذكر,Male,J00 - J99,أمراض الجهاز التنفسي,Diseases of the Respiratory System,غير بحريني,Non-Bahraini,21
2015,ذكر,Male,K00 - K99,أمراض الجهاز الهضمي,Diseases of the Digestive System,غير بحريني,Non-Bahraini,10
2015,ذكر,Male,L00 - L99,أمراض الجلد والنسيج الخلوي تحت الجلد,Diseases of the Skin & Subcutaneous Tissue,غير بحريني,Non-Bahraini,0
2015,ذكر,Male,P00 - P99,حالات معينة تنشأ في  الفترة حول موعد الولادة,Conditions Originating in the Perinental Period,غير بحريني,Non-Bahraini,2
2015,ذكر,Male,R00 - R99,الأعراض والعلامات المرضية والحالات غير المعينة,Undefined illness,غير بحريني,Non-Bahraini,7
2015,ذكر,Male,V00 - Y99,الأسباب الخارجية للمرض والوفاة,External Causes of Morbidity & Mortality,غير بحريني,Non-Bahraini,105
2016,ذكر,Male,A00 - B99,الأمراض المعدية (الأنتانية والطفيلية),Certain Infectious & Parasitic Diseases,غير بحريني,Non-Bahraini,4
2016,ذكر,Male,G00 -G99,أمراض الجهاز العصبي,Diseases of the Nervous System & Sense Organs,غير بحريني,Non-Bahraini,7
2016,ذكر,Male,H60 - H99,أمراض الأذن والنتؤ الخشائي (الحلمي),Diseases of the Ear & Mastoid Process,غير بحريني,Non-Bahraini,0
2016,ذكر,Male,I00 - I99,أمراض الجهاز الدوري,Diseases of the Circulatory System,غير بحريني,Non-Bahraini,265
2016,ذكر,Male,J00 - J99,أمراض الجهاز التنفسي,Diseases of the Respiratory System,غير بحريني,Non-Bahraini,18
2016,ذكر,Male,K00 - K99,أمراض الجهاز الهضمي,Diseases of the Digestive System,غير بحريني,Non-Bahraini,10
2016,ذكر,Male,P00 - P99,حالات معينة تنشأ في  الفترة حول موعد الولادة,Conditions Originating in the Perinental Period,غير بحريني,Non-Bahraini,5
2016,ذكر,Male,Z00 - Z99,العوامل المؤثرة على الحالة الصحية والمتعلقة بالخدمات الصحية,Factors Influencing Health Status & Contact with Health Services,غير بحريني,Non-Bahraini,1
2017,ذكر,Male,C00 - D49,الأورام,Neoplasms,غير بحريني,Non-Bahraini,21
2017,ذكر,Male,F00 - F99,الإضطرابات العقلية,Mental Disorder,غير بحريني,Non-Bahraini,1
2017,ذكر,Male,I00 - I99,أمراض الجهاز الدوري,Diseases of the Circulatory System,غير بحريني,Non-Bahraini,289
2017,ذكر,Male,K00 - K99,أمراض الجهاز الهضمي,Diseases of the Digestive System,غير بحريني,Non-Bahraini,16
2017,ذكر,Male,L00 - L99,أمراض الجلد والنسيج الخلوي تحت الجلد,Diseases of the Skin & Subcutaneous Tissue,غير بحريني,Non-Bahraini,0
2017,ذكر,Male,P00 - P99,حالات معينة تنشأ في  الفترة حول موعد الولادة,Conditions Originating in the Perinental Period,غير بحريني,Non-Bahraini,15
2018,ذكر,Male,J00 - J99,أمراض الجهاز التنفسي,Diseases of the Respiratory System,غير بحريني,Non-Bahraini,11
2018,ذكر,Male,K00 - K99,أمراض الجهاز الهضمي,Diseases of the Digestive System,غير بحريني,Non-Bahraini,8
2018,ذكر,Male,P00 - P99,حالات معينة تنشأ في  الفترة حول موعد الولادة,Conditions Originating in the Perinental Period,غير بحريني,Non-Bahraini,10
2018,ذكر,Male,Q00 - Q99,العيوب والتشوهات خلقية,Congential Anomalies,غير بحريني,Non-Bahraini,7
2018,ذكر,Male,V00 - Y99,الأسباب الخارجية للمرض والوفاة,External Causes of Morbidity & Mortality,غير بحريني,Non-Bahraini,112
2019,ذكر,Male,A00 - B99,الأمراض المعدية (الأنتانية والطفيلية),Certain Infectious & Parasitic Diseases,غير بحريني,Non-Bahraini,12
2019,ذكر,Male,D50 - D89,أمراض الدم وأعضاء تكوين الدم,Diseases of the Blood & Blood Forming Organs,غير بحريني,Non-Bahraini,1
2019,ذكر,Male,F00 - F99,الإضطرابات العقلية,Mental Disorder,غير بحريني,Non-Bahraini,2
