Nationality,Sex,Cause of Death,الوفيات,سبب الوفاة,جنس,الجنسية,سنة
Non-Bahraini,Female,Diseases of the Ear & Mastoid Process,0,أمراض الأذن والنتؤ الخشائي (الحلمي),انثى,غير بحريني,2002
Non-Bahraini,Female,Diseases of the Circulatory System,15,أمراض الجهاز الدوري,انثى,غير بحريني,2002
Non-Bahraini,Female,Diseases of the Respiratory System,6,أمراض الجهاز التنفسي,انثى,غير بحريني,2002
Non-Bahraini,Female,Diseases of the Skin & Subcutaneous Tissue,0,أمراض الجلد والنسيج الخلوي تحت الجلد,انثى,غير بحريني,2002
Non-Bahraini,Female,Conditions Originating in the Perinental Period,3,حالات معينة تنشأ في  الفترة حول موعد الولادة,انثى,غير بحريني,2002
Non-Bahraini,Female,Undefined illness,7,الأعراض والعلامات المرضية والحالات غير المعينة,انثى,غير بحريني,2002
Non-Bahraini,Female,"Injuries, Poisoning & Certain Other Consequences of External Causes",0,الإصابات والتسمم ونتائج أخرى معينة للأسباب الخارجية,انثى,غير بحريني,2002
Non-Bahraini,Female,Others,0,أخرى,انثى,غير بحريني,2002
Bahraini,Male,Certain Infectious & Parasitic Diseases,48,الأمراض المعدية (الأنتانية والطفيلية),ذكر,بحريني,2003
Bahraini,Male,Mental Disorder,0,الإضطرابات العقلية,ذكر,بحريني,2003
Bahraini,Male,Diseases of the Nervous System & Sense Organs,15,أمراض الجهاز العصبي,ذكر,بحريني,2003
Bahraini,Male,Diseases of the Skin & Subcutaneous Tissue,19,أمراض الجلد والنسيج الخلوي تحت الجلد,ذكر,بحريني,2003
Bahraini,Male,Conditions Originating in the Perinental Period,19,حالات معينة تنشأ في  الفترة حول موعد الولادة,ذكر,بحريني,2003
Bahraini,Male,Undefined illness,136,الأعراض والعلامات المرضية والحالات غير المعينة,ذكر,بحريني,2003
Bahraini,Female,Neoplasms,109,الأورام,انثى,بحريني,2003
Bahraini,Female,Diseases of the Eye & Adnexa,0,أمراض العين وتوابعها,انثى,بحريني,2003
Bahraini,Female,Diseases of the Respiratory System,49,أمراض الجهاز التنفسي,انثى,بحريني,2003
Bahraini,Female,Conditions Originating in the Perinental Period,24,حالات معينة تنشأ في  الفترة حول موعد الولادة,انثى,بحريني,2003
Bahraini,Female,Congential Anomalies,19,العيوب والتشوهات خلقية,انثى,بحريني,2003
Bahraini,Female,External Causes of Morbidity & Mortality,11,الأسباب الخارجية للمرض والوفاة,انثى,بحريني,2003
Non-Bahraini,Male,Diseases of the Circulatory System,89,أمراض الجهاز الدوري,ذكر,غير بحريني,2003
Non-Bahraini,Male,Diseases of the Digestive System,9,أمراض الجهاز الهضمي,ذكر,غير بحريني,2003
Non-Bahraini,Male,Conditions Originating in the Perinental Period,5,حالات معينة تنشأ في  الفترة حول موعد الولادة,ذكر,غير بحريني,2003
Non-Bahraini,Male,Undefined illness,35,الأعراض والعلامات المرضية والحالات غير المعينة,ذكر,غير بحريني,2003
Non-Bahraini,Male,"Injuries, Poisoning & Certain Other Consequences of External Causes",0,الإصابات والتسمم ونتائج أخرى معينة للأسباب الخارجية,ذكر,غير بحريني,2003
Non-Bahraini,Male,Factors Influencing Health Status & Contact with Health Services,0,العوامل المؤثرة على الحالة الصحية والمتعلقة بالخدمات الصحية,ذكر,غير بحريني,2003
Non-Bahraini,Female,Certain Infectious & Parasitic Diseases,4,الأمراض المعدية (الأنتانية والطفيلية),انثى,غير بحريني,2003
Non-Bahraini,Female,Diseases of the Nervous System & Sense Organs,2,أمراض الجهاز العصبي,انثى,غير بحريني,2003
Non-Bahraini,Female,Diseases of the Eye & Adnexa,0,أمراض العين وتوابعها,انثى,غير بحريني,2003
Non-Bahraini,Female,Congential Anomalies,5,العيوب والتشوهات خلقية,انثى,غير بحريني,2003
Non-Bahraini,Female,Undefined illness,9,الأعراض والعلامات المرضية والحالات غير المعينة,انثى,غير بحريني,2003
Bahraini,Male,Congential Anomalies,17,العيوب والتشوهات خلقية,ذكر,بحريني,2004
Bahraini,Female,Neoplasms,112,الأورام,انثى,بحريني,2004
Bahraini,Female,Mental Disorder,0,الإضطرابات العقلية,انثى,بحريني,2004
Bahraini,Female,Diseases of the Ear & Mastoid Process,0,أمراض الأذن والنتؤ الخشائي (الحلمي),انثى,بحريني,2004
Bahraini,Female,Diseases of the Circulatory System,211,أمراض الجهاز الدوري,انثى,بحريني,2004
Bahraini,Female,Diseases of the Respiratory System,61,أمراض الجهاز التنفسي,انثى,بحريني,2004
Bahraini,Female,Diseases of the Digestive System,28,أمراض الجهاز الهضمي,انثى,بحريني,2004
Bahraini,Female,Congential Anomalies,19,العيوب والتشوهات خلقية,انثى,بحريني,2004
Bahraini,Female,Factors Influencing Health Status & Contact with Health Services,0,العوامل المؤثرة على الحالة الصحية والمتعلقة بالخدمات الصحية,انثى,بحريني,2004
Non-Bahraini,Male,Diseases of the Blood & Blood Forming Organs,0,أمراض الدم وأعضاء تكوين الدم,ذكر,غير بحريني,2004
Non-Bahraini,Male,Mental Disorder,2,الإضطرابات العقلية,ذكر,غير بحريني,2004
Non-Bahraini,Male,Diseases of the Skin & Subcutaneous Tissue,1,أمراض الجلد والنسيج الخلوي تحت الجلد,ذكر,غير بحريني,2004
Non-Bahraini,Male,Undefined illness,78,الأعراض والعلامات المرضية والحالات غير المعينة,ذكر,غير بحريني,2004
Non-Bahraini,Male,"Injuries, Poisoning & Certain Other Consequences of External Causes",0,الإصابات والتسمم ونتائج أخرى معينة للأسباب الخارجية,ذكر,غير بحريني,2004
Non-Bahraini,Female,Mental Disorder,0,الإضطرابات العقلية,انثى,غير بحريني,2004
Non-Bahraini,Female,Diseases of the Nervous System & Sense Organs,3,أمراض الجهاز العصبي,انثى,غير بحريني,2004
Non-Bahraini,Female,Diseases of the Digestive System,1,أمراض الجهاز الهضمي,انثى,غير بحريني,2004
Non-Bahraini,Female,Diseases of the Skin & Subcutaneous Tissue,1,أمراض الجلد والنسيج الخلوي تحت الجلد,انثى,غير بحريني,2004
Non-Bahraini,Female,Diseases of Genitourinary System,3,أمراض الجهاز التناسلي البولي,انثى,غير بحريني,2004
Non-Bahraini,Female,Factors Influencing Health Status & Contact with Health Services,0,العوامل المؤثرة على الحالة الصحية والمتعلقة بالخدمات الصحية,انثى,غير بحريني,2004
Non-Bahraini,Female,Others,0,أخرى,انثى,غير بحريني,2004
Bahraini,Male,Mental Disorder,8,الإضطرابات العقلية,ذكر,بحريني,2005
Bahraini,Male,Diseases of the Eye & Adnexa,0,أمراض العين وتوابعها,ذكر,بحريني,2005
Bahraini,Male,Diseases of the Ear & Mastoid Process,0,أمراض الأذن والنتؤ الخشائي (الحلمي),ذكر,بحريني,2005
Bahraini,Male,Diseases of the Skin & Subcutaneous Tissue,25,أمراض الجلد والنسيج الخلوي تحت الجلد,ذكر,بحريني,2005
Bahraini,Male,"Pregnancy, Child-Birth & the Puerperium*",0,الحمل والولادة والنفاس*,ذكر,بحريني,2005
Bahraini,Male,Congential Anomalies,17,العيوب والتشوهات خلقية,ذكر,بحريني,2005
Bahraini,Male,Undefined illness,192,الأعراض والعلامات المرضية والحالات غير المعينة,ذكر,بحريني,2005
Bahraini,Female,Diseases of the Eye & Adnexa,0,أمراض العين وتوابعها,انثى,بحريني,2005
Bahraini,Female,Congential Anomalies,21,العيوب والتشوهات خلقية,انثى,بحريني,2005
Bahraini,Female,Factors Influencing Health Status & Contact with Health Services,2,العوامل المؤثرة على الحالة الصحية والمتعلقة بالخدمات الصحية,انثى,بحريني,2005
Non-Bahraini,Male,Certain Infectious & Parasitic Diseases,8,الأمراض المعدية (الأنتانية والطفيلية),ذكر,غير بحريني,2005
Non-Bahraini,Male,Neoplasms,11,الأورام,ذكر,غير بحريني,2005
Non-Bahraini,Male,Diseases of the Blood & Blood Forming Organs,1,أمراض الدم وأعضاء تكوين الدم,ذكر,غير بحريني,2005
Non-Bahraini,Male,Diseases of the Circulatory System,64,أمراض الجهاز الدوري,ذكر,غير بحريني,2005
Non-Bahraini,Male,"Pregnancy, Child-Birth & the Puerperium*",0,الحمل والولادة والنفاس*,ذكر,غير بحريني,2005
Non-Bahraini,Male,Congential Anomalies,6,العيوب والتشوهات خلقية,ذكر,غير بحريني,2005
Non-Bahraini,Male,Others,0,أخرى,ذكر,غير بحريني,2005
Non-Bahraini,Female,Mental Disorder,0,الإضطرابات العقلية,انثى,غير بحريني,2005
Non-Bahraini,Female,Diseases of the Eye & Adnexa,0,أمراض العين وتوابعها,انثى,غير بحريني,2005
Non-Bahraini,Female,"Pregnancy, Child-Birth & the Puerperium*",0,الحمل والولادة والنفاس*,انثى,غير بحريني,2005
Bahraini,Male,Certain Infectious & Parasitic Diseases,35,الأمراض المعدية (الأنتانية والطفيلية),ذكر,بحريني,2006
Bahraini,Male,Diseases of the Blood & Blood Forming Organs,17,أمراض الدم وأعضاء تكوين الدم,ذكر,بحريني,2006
Bahraini,Male,Mental Disorder,3,الإضطرابات العقلية,ذكر,بحريني,2006
Bahraini,Male,Diseases of the Eye & Adnexa,0,أمراض العين وتوابعها,ذكر,بحريني,2006
Bahraini,Male,Diseases of the Ear & Mastoid Process,0,أمراض الأذن والنتؤ الخشائي (الحلمي),ذكر,بحريني,2006
Bahraini,Male,"Pregnancy, Child-Birth & the Puerperium*",0,الحمل والولادة والنفاس*,ذكر,بحريني,2006
Bahraini,Male,Congential Anomalies,17,العيوب والتشوهات خلقية,ذكر,بحريني,2006
Bahraini,Male,External Causes of Morbidity & Mortality,64,الأسباب الخارجية للمرض والوفاة,ذكر,بحريني,2006
Bahraini,Male,Factors Influencing Health Status & Contact with Health Services,0,العوامل المؤثرة على الحالة الصحية والمتعلقة بالخدمات الصحية,ذكر,بحريني,2006
Bahraini,Female,Diseases of the Blood & Blood Forming Organs,11,أمراض الدم وأعضاء تكوين الدم,انثى,بحريني,2006
Bahraini,Female,Diseases of the Nervous System & Sense Organs,13,أمراض الجهاز العصبي,انثى,بحريني,2006
Bahraini,Female,Diseases of the Eye & Adnexa,0,أمراض العين وتوابعها,انثى,بحريني,2006
Bahraini,Female,Diseases of the Circulatory System,177,أمراض الجهاز الدوري,انثى,بحريني,2006
Bahraini,Female,Congential Anomalies,12,العيوب والتشوهات خلقية,انثى,بحريني,2006
Non-Bahraini,Male,Mental Disorder,3,الإضطرابات العقلية,ذكر,غير بحريني,2006
Non-Bahraini,Male,Diseases of the Musculoskelatal System & Connective Tissue,1,أمراض الجهاز الهيكلي والنسيج الضام,ذكر,غير بحريني,2006
Non-Bahraini,Male,Undefined illness,96,الأعراض والعلامات المرضية والحالات غير المعينة,ذكر,غير بحريني,2006
Non-Bahraini,Female,Certain Infectious & Parasitic Diseases,3,الأمراض المعدية (الأنتانية والطفيلية),انثى,غير بحريني,2006
Non-Bahraini,Female,"Endocrine, Nutritional & Metabolic & Immunity Disorders",16,أمراض الغدد الصماء والتغذية والتمثيل الغذائي وإضطرابات المناعة,انثى,غير بحريني,2006
Non-Bahraini,Female,Diseases of the Nervous System & Sense Organs,6,أمراض الجهاز العصبي,انثى,غير بحريني,2006
Non-Bahraini,Female,Diseases of the Eye & Adnexa,0,أمراض العين وتوابعها,انثى,غير بحريني,2006
Non-Bahraini,Female,Diseases of the Circulatory System,25,أمراض الجهاز الدوري,انثى,غير بحريني,2006
Non-Bahraini,Female,Diseases of the Respiratory System,4,أمراض الجهاز التنفسي,انثى,غير بحريني,2006
Non-Bahraini,Female,Conditions Originating in the Perinental Period,7,حالات معينة تنشأ في  الفترة حول موعد الولادة,انثى,غير بحريني,2006
Non-Bahraini,Female,Congential Anomalies,6,العيوب والتشوهات خلقية,انثى,غير بحريني,2006
Non-Bahraini,Female,"Injuries, Poisoning & Certain Other Consequences of External Causes",0,الإصابات والتسمم ونتائج أخرى معينة للأسباب الخارجية,انثى,غير بحريني,2006
Bahraini,Male,Diseases of the Blood & Blood Forming Organs,17,أمراض الدم وأعضاء تكوين الدم,ذكر,بحريني,2007
Bahraini,Male,"Endocrine, Nutritional & Metabolic & Immunity Disorders",123,أمراض الغدد الصماء والتغذية والتمثيل الغذائي وإضطرابات المناعة,ذكر,بحريني,2007
Bahraini,Male,Mental Disorder,3,الإضطرابات العقلية,ذكر,بحريني,2007
Bahraini,Male,Diseases of the Eye & Adnexa,0,أمراض العين وتوابعها,ذكر,بحريني,2007
Bahraini,Male,Diseases of the Circulatory System,197,أمراض الجهاز الدوري,ذكر,بحريني,2007
Bahraini,Male,Diseases of the Digestive System,29,أمراض الجهاز الهضمي,ذكر,بحريني,2007
Bahraini,Male,"Injuries, Poisoning & Certain Other Consequences of External Causes",0,الإصابات والتسمم ونتائج أخرى معينة للأسباب الخارجية,ذكر,بحريني,2007
Bahraini,Male,Factors Influencing Health Status & Contact with Health Services,0,العوامل المؤثرة على الحالة الصحية والمتعلقة بالخدمات الصحية,ذكر,بحريني,2007
Bahraini,Female,Certain Infectious & Parasitic Diseases,27,الأمراض المعدية (الأنتانية والطفيلية),انثى,بحريني,2007
Bahraini,Female,Diseases of the Nervous System & Sense Organs,21,أمراض الجهاز العصبي,انثى,بحريني,2007
Bahraini,Female,Diseases of the Ear & Mastoid Process,0,أمراض الأذن والنتؤ الخشائي (الحلمي),انثى,بحريني,2007
Bahraini,Female,Diseases of the Digestive System,24,أمراض الجهاز الهضمي,انثى,بحريني,2007
Bahraini,Female,"Pregnancy, Child-Birth & the Puerperium*",3,الحمل والولادة والنفاس*,انثى,بحريني,2007
Bahraini,Female,External Causes of Morbidity & Mortality,15,الأسباب الخارجية للمرض والوفاة,انثى,بحريني,2007
Bahraini,Female,Factors Influencing Health Status & Contact with Health Services,0,العوامل المؤثرة على الحالة الصحية والمتعلقة بالخدمات الصحية,انثى,بحريني,2007
Non-Bahraini,Male,Certain Infectious & Parasitic Diseases,12,الأمراض المعدية (الأنتانية والطفيلية),ذكر,غير بحريني,2007
Non-Bahraini,Male,Mental Disorder,2,الإضطرابات العقلية,ذكر,غير بحريني,2007
Non-Bahraini,Male,Diseases of the Nervous System & Sense Organs,5,أمراض الجهاز العصبي,ذكر,غير بحريني,2007
Non-Bahraini,Male,Diseases of the Ear & Mastoid Process,0,أمراض الأذن والنتؤ الخشائي (الحلمي),ذكر,غير بحريني,2007
Non-Bahraini,Male,Diseases of the Skin & Subcutaneous Tissue,0,أمراض الجلد والنسيج الخلوي تحت الجلد,ذكر,غير بحريني,2007
Non-Bahraini,Male,"Pregnancy, Child-Birth & the Puerperium*",0,الحمل والولادة والنفاس*,ذكر,غير بحريني,2007
Non-Bahraini,Male,Congential Anomalies,13,العيوب والتشوهات خلقية,ذكر,غير بحريني,2007
Non-Bahraini,Male,External Causes of Morbidity & Mortality,128,الأسباب الخارجية للمرض والوفاة,ذكر,غير بحريني,2007
Non-Bahraini,Female,Neoplasms,10,الأورام,انثى,غير بحريني,2007
Non-Bahraini,Female,"Endocrine, Nutritional & Metabolic & Immunity Disorders",5,أمراض الغدد الصماء والتغذية والتمثيل الغذائي وإضطرابات المناعة,انثى,غير بحريني,2007
Non-Bahraini,Female,Diseases of the Circulatory System,20,أمراض الجهاز الدوري,انثى,غير بحريني,2007
Non-Bahraini,Female,Diseases of the Musculoskelatal System & Connective Tissue,0,أمراض الجهاز الهيكلي والنسيج الضام,انثى,غير بحريني,2007
Non-Bahraini,Female,Diseases of Genitourinary System,1,أمراض الجهاز التناسلي البولي,انثى,غير بحريني,2007
Non-Bahraini,Female,"Pregnancy, Child-Birth & the Puerperium*",0,الحمل والولادة والنفاس*,انثى,غير بحريني,2007
Non-Bahraini,Female,"Injuries, Poisoning & Certain Other Consequences of External Causes",0,الإصابات والتسمم ونتائج أخرى معينة للأسباب الخارجية,انثى,غير بحريني,2007
Non-Bahraini,Female,Others,0,أخرى,انثى,غير بحريني,2007
Bahraini,Male,Diseases of the Circulatory System,187,أمراض الجهاز الدوري,ذكر,بحريني,2008
Bahraini,Male,Diseases of the Musculoskelatal System & Connective Tissue,0,أمراض الجهاز الهيكلي والنسيج الضام,ذكر,بحريني,2008
Bahraini,Male,"Injuries, Poisoning & Certain Other Consequences of External Causes",0,الإصابات والتسمم ونتائج أخرى معينة للأسباب الخارجية,ذكر,بحريني,2008
Bahraini,Male,Others,0,أخرى,ذكر,بحريني,2008
Bahraini,Female,Certain Infectious & Parasitic Diseases,28,الأمراض المعدية (الأنتانية والطفيلية),انثى,بحريني,2008
Bahraini,Female,Diseases of the Blood & Blood Forming Organs,15,أمراض الدم وأعضاء تكوين الدم,انثى,بحريني,2008
Bahraini,Female,Diseases of the Circulatory System,195,أمراض الجهاز الدوري,انثى,بحريني,2008
Bahraini,Female,Diseases of Genitourinary System,48,أمراض الجهاز التناسلي البولي,انثى,بحريني,2008
Bahraini,Female,"Pregnancy, Child-Birth & the Puerperium*",2,الحمل والولادة والنفاس*,انثى,بحريني,2008
Bahraini,Female,Conditions Originating in the Perinental Period,24,حالات معينة تنشأ في  الفترة حول موعد الولادة,انثى,بحريني,2008
Bahraini,Female,Undefined illness,135,الأعراض والعلامات المرضية والحالات غير المعينة,انثى,بحريني,2008
Bahraini,Female,External Causes of Morbidity & Mortality,18,الأسباب الخارجية للمرض والوفاة,انثى,بحريني,2008
Bahraini,Female,Others,0,أخرى,انثى,بحريني,2008
Non-Bahraini,Male,Diseases of the Blood & Blood Forming Organs,4,أمراض الدم وأعضاء تكوين الدم,ذكر,غير بحريني,2008
Non-Bahraini,Male,Diseases of the Ear & Mastoid Process,0,أمراض الأذن والنتؤ الخشائي (الحلمي),ذكر,غير بحريني,2008
Non-Bahraini,Male,Diseases of the Digestive System,5,أمراض الجهاز الهضمي,ذكر,غير بحريني,2008
Non-Bahraini,Male,Diseases of the Musculoskelatal System & Connective Tissue,1,أمراض الجهاز الهيكلي والنسيج الضام,ذكر,غير بحريني,2008
Non-Bahraini,Male,Congential Anomalies,5,العيوب والتشوهات خلقية,ذكر,غير بحريني,2008
Non-Bahraini,Male,Undefined illness,155,الأعراض والعلامات المرضية والحالات غير المعينة,ذكر,غير بحريني,2008
Non-Bahraini,Male,Factors Influencing Health Status & Contact with Health Services,0,العوامل المؤثرة على الحالة الصحية والمتعلقة بالخدمات الصحية,ذكر,غير بحريني,2008
Non-Bahraini,Female,Certain Infectious & Parasitic Diseases,5,الأمراض المعدية (الأنتانية والطفيلية),انثى,غير بحريني,2008
Non-Bahraini,Female,Mental Disorder,0,الإضطرابات العقلية,انثى,غير بحريني,2008
Non-Bahraini,Female,Diseases of the Ear & Mastoid Process,0,أمراض الأذن والنتؤ الخشائي (الحلمي),انثى,غير بحريني,2008
Non-Bahraini,Female,Diseases of Genitourinary System,3,أمراض الجهاز التناسلي البولي,انثى,غير بحريني,2008
Non-Bahraini,Female,Conditions Originating in the Perinental Period,7,حالات معينة تنشأ في  الفترة حول موعد الولادة,انثى,غير بحريني,2008
Non-Bahraini,Female,Congential Anomalies,6,العيوب والتشوهات خلقية,انثى,غير بحريني,2008
Non-Bahraini,Female,Others,0,أخرى,انثى,غير بحريني,2008
Bahraini,Male,Neoplasms,103,الأورام,ذكر,بحريني,2009
Bahraini,Male,"Endocrine, Nutritional & Metabolic & Immunity Disorders",83,أمراض الغدد الصماء والتغذية والتمثيل الغذائي وإضطرابات المناعة,ذكر,بحريني,2009
Bahraini,Male,Diseases of the Nervous System & Sense Organs,20,أمراض الجهاز العصبي,ذكر,بحريني,2009
Bahraini,Male,Diseases of the Circulatory System,170,أمراض الجهاز الدوري,ذكر,بحريني,2009
Bahraini,Male,Diseases of the Musculoskelatal System & Connective Tissue,2,أمراض الجهاز الهيكلي والنسيج الضام,ذكر,بحريني,2009
Bahraini,Male,Congential Anomalies,22,العيوب والتشوهات خلقية,ذكر,بحريني,2009
Bahraini,Female,Neoplasms,93,الأورام,انثى,بحريني,2009
Bahraini,Female,Diseases of the Blood & Blood Forming Organs,20,أمراض الدم وأعضاء تكوين الدم,انثى,بحريني,2009
Bahraini,Female,"Endocrine, Nutritional & Metabolic & Immunity Disorders",89,أمراض الغدد الصماء والتغذية والتمثيل الغذائي وإضطرابات المناعة,انثى,بحريني,2009
Bahraini,Female,Diseases of Genitourinary System,63,أمراض الجهاز التناسلي البولي,انثى,بحريني,2009
Bahraini,Female,Conditions Originating in the Perinental Period,23,حالات معينة تنشأ في  الفترة حول موعد الولادة,انثى,بحريني,2009
Bahraini,Female,Congential Anomalies,17,العيوب والتشوهات خلقية,انثى,بحريني,2009
Bahraini,Female,Undefined illness,203,الأعراض والعلامات المرضية والحالات غير المعينة,انثى,بحريني,2009
Non-Bahraini,Male,"Endocrine, Nutritional & Metabolic & Immunity Disorders",17,أمراض الغدد الصماء والتغذية والتمثيل الغذائي وإضطرابات المناعة,ذكر,غير بحريني,2009
Non-Bahraini,Male,Mental Disorder,0,الإضطرابات العقلية,ذكر,غير بحريني,2009
Non-Bahraini,Male,Diseases of the Nervous System & Sense Organs,6,أمراض الجهاز العصبي,ذكر,غير بحريني,2009
Non-Bahraini,Male,Diseases of Genitourinary System,6,أمراض الجهاز التناسلي البولي,ذكر,غير بحريني,2009
Non-Bahraini,Male,Undefined illness,163,الأعراض والعلامات المرضية والحالات غير المعينة,ذكر,غير بحريني,2009
Non-Bahraini,Male,"Injuries, Poisoning & Certain Other Consequences of External Causes",0,الإصابات والتسمم ونتائج أخرى معينة للأسباب الخارجية,ذكر,غير بحريني,2009
Non-Bahraini,Male,Factors Influencing Health Status & Contact with Health Services,0,العوامل المؤثرة على الحالة الصحية والمتعلقة بالخدمات الصحية,ذكر,غير بحريني,2009
Non-Bahraini,Female,"Endocrine, Nutritional & Metabolic & Immunity Disorders",5,أمراض الغدد الصماء والتغذية والتمثيل الغذائي وإضطرابات المناعة,انثى,غير بحريني,2009
Non-Bahraini,Female,Diseases of the Circulatory System,13,أمراض الجهاز الدوري,انثى,غير بحريني,2009
Non-Bahraini,Female,Diseases of the Digestive System,2,أمراض الجهاز الهضمي,انثى,غير بحريني,2009
Non-Bahraini,Female,Diseases of the Skin & Subcutaneous Tissue,0,أمراض الجلد والنسيج الخلوي تحت الجلد,انثى,غير بحريني,2009
Non-Bahraini,Female,"Pregnancy, Child-Birth & the Puerperium*",0,الحمل والولادة والنفاس*,انثى,غير بحريني,2009
Non-Bahraini,Female,External Causes of Morbidity & Mortality,16,الأسباب الخارجية للمرض والوفاة,انثى,غير بحريني,2009
Non-Bahraini,Female,Factors Influencing Health Status & Contact with Health Services,0,العوامل المؤثرة على الحالة الصحية والمتعلقة بالخدمات الصحية,انثى,غير بحريني,2009
Non-Bahraini,Female,Others,0,أخرى,انثى,غير بحريني,2009
Bahraini,Male,Neoplasms,120,الأورام,ذكر,بحريني,2010
Bahraini,Male,Diseases of the Respiratory System,50,أمراض الجهاز التنفسي,ذكر,بحريني,2010
Bahraini,Male,Diseases of the Digestive System,28,أمراض الجهاز الهضمي,ذكر,بحريني,2010
Bahraini,Male,Diseases of the Skin & Subcutaneous Tissue,10,أمراض الجلد والنسيج الخلوي تحت الجلد,ذكر,بحريني,2010
Bahraini,Male,Diseases of the Musculoskelatal System & Connective Tissue,3,أمراض الجهاز الهيكلي والنسيج الضام,ذكر,بحريني,2010
Bahraini,Male,Diseases of Genitourinary System,67,أمراض الجهاز التناسلي البولي,ذكر,بحريني,2010
Bahraini,Male,"Injuries, Poisoning & Certain Other Consequences of External Causes",0,الإصابات والتسمم ونتائج أخرى معينة للأسباب الخارجية,ذكر,بحريني,2010
Bahraini,Female,Diseases of the Blood & Blood Forming Organs,26,أمراض الدم وأعضاء تكوين الدم,انثى,بحريني,2010
Bahraini,Female,Mental Disorder,2,الإضطرابات العقلية,انثى,بحريني,2010
Bahraini,Female,Diseases of the Eye & Adnexa,0,أمراض العين وتوابعها,انثى,بحريني,2010
Bahraini,Female,Diseases of the Ear & Mastoid Process,0,أمراض الأذن والنتؤ الخشائي (الحلمي),انثى,بحريني,2010
Bahraini,Female,Diseases of the Circulatory System,169,أمراض الجهاز الدوري,انثى,بحريني,2010
Non-Bahraini,Male,Neoplasms,6,الأورام,ذكر,غير بحريني,2010
Non-Bahraini,Male,Diseases of the Circulatory System,66,أمراض الجهاز الدوري,ذكر,غير بحريني,2010
Non-Bahraini,Male,Diseases of the Digestive System,7,أمراض الجهاز الهضمي,ذكر,غير بحريني,2010
Non-Bahraini,Male,Diseases of the Skin & Subcutaneous Tissue,2,أمراض الجلد والنسيج الخلوي تحت الجلد,ذكر,غير بحريني,2010
Non-Bahraini,Male,"Pregnancy, Child-Birth & the Puerperium*",0,الحمل والولادة والنفاس*,ذكر,غير بحريني,2010
Non-Bahraini,Male,Undefined illness,139,الأعراض والعلامات المرضية والحالات غير المعينة,ذكر,غير بحريني,2010
